,assetid,date,signal
7183,124749,2016-04-25,-1
7184,124749,2016-07-26,-1
7185,124749,2016-07-26,-1
7186,124749,2016-07-26,-1
7187,124749,2016-07-26,-1
7188,124749,2016-07-26,-1
7189,124749,2016-07-26,-1
7190,124749,2016-07-26,-1
7191,124749,2016-07-26,-1
7192,124749,2016-09-28,-1
7193,124749,2016-10-26,-1
7194,124749,2016-10-26,-1
7195,124749,2016-10-26,-1
7196,124749,2016-10-26,-1
7197,124749,2016-10-26,-1
7198,124749,2016-10-26,-1
7199,124749,2016-10-26,-1
7200,124749,2016-10-26,-1
7201,124749,2016-10-26,-1
7740,124766,2016-01-28,-1
7741,124766,2016-01-28,-1
7742,124766,2016-01-28,-1
7743,124766,2016-01-28,-1
7744,124766,2016-01-28,-1
7745,124766,2016-01-28,-1
7746,124766,2016-01-28,-1
7747,124766,2016-01-28,-1
7748,124766,2016-01-28,-1
7749,124766,2016-01-28,-1
7750,124766,2016-04-28,-1
7751,124766,2016-04-28,-1
7752,124766,2016-04-28,-1
7753,124766,2016-04-28,-1
7754,124766,2016-04-28,-1
7755,124766,2016-04-28,-1
7756,124766,2016-04-28,-1
7757,124766,2016-04-28,-1
7758,124766,2016-04-28,-1
7759,124766,2016-04-28,-1
7760,124766,2016-04-28,-1
7761,124766,2016-05-05,-1
7762,124766,2016-11-03,-1
7763,124766,2016-11-03,-1
7764,124766,2016-11-03,-1
7765,124766,2016-11-03,-1
7766,124766,2016-11-03,-1
7767,124766,2016-11-03,-1
7768,124766,2016-11-03,-1
7769,124766,2016-11-14,-1
7770,124766,2016-11-14,-1
7771,124766,2016-11-14,-1
7772,124766,2016-11-14,-1
7773,124766,2016-11-14,-1
7774,124766,2016-11-14,-1
7775,124766,2016-11-14,-1
7776,124766,2016-11-14,-1
7777,124766,2016-11-15,1
7778,124766,2016-12-14,-1
7779,124766,2016-12-14,-1
7780,124766,2016-12-14,-1
7781,124766,2016-12-14,-1
7878,124768,2016-02-29,-1
7879,124768,2016-02-29,-1
7880,124768,2016-02-29,-1
7881,124768,2016-04-28,-1
7882,124768,2016-04-28,-1
7883,124768,2016-06-09,-1
7884,124768,2016-07-27,-1
7885,124768,2016-07-27,-1
7886,124768,2016-10-27,-1
7887,124768,2016-10-27,-1
7888,124768,2016-12-01,-1
7999,124773,2016-01-29,-1
8000,124773,2016-01-29,-1
8001,124773,2016-04-28,-1
8002,124773,2016-04-28,-1
8003,124773,2016-07-29,-1
8004,124773,2016-07-29,-1
8005,124773,2016-08-01,-1
8006,124773,2016-08-01,-1
8007,124773,2016-09-05,-1
8008,124773,2016-09-06,1
8009,124773,2016-10-31,-1
8010,124773,2016-10-31,-1
8853,124782,2016-01-07,-1
8854,124782,2016-03-03,-1
8855,124782,2016-03-03,-1
8856,124782,2016-03-03,-1
8857,124782,2016-04-27,1
8858,124782,2016-04-27,-1
8859,124782,2016-06-22,-1
8860,124782,2016-06-22,-1
8861,124782,2016-06-22,-1
8862,124782,2016-06-22,-1
8863,124782,2016-06-22,-1
8864,124782,2016-06-23,-1
8865,124782,2016-06-23,-1
8866,124782,2016-06-24,-1
8867,124782,2016-08-16,-1
8868,124782,2016-08-16,-1
8869,124782,2016-08-16,-1
8870,124782,2016-08-16,-1
8871,124782,2016-08-16,-1
8872,124782,2016-09-08,-1
8873,124782,2016-09-08,-1
8874,124782,2016-09-08,-1
8875,124782,2016-09-08,-1
8876,124782,2016-09-08,-1
8877,124782,2016-09-09,-1
8878,124782,2016-11-21,-1
8879,124782,2016-11-22,-1
8880,124782,2016-11-22,-1
8881,124782,2016-11-22,-1
8882,124782,2016-11-22,-1
8883,124782,2016-11-22,-1
9075,124792,2016-10-10,-1
9076,124792,2016-10-18,-1
9077,124792,2016-10-18,-1
9078,124792,2016-11-30,-1
9625,124793,2016-02-04,-1
9626,124793,2016-03-03,-1
9627,124793,2016-07-18,-1
9628,124793,2016-07-18,-1
9629,124793,2016-07-18,-1
9630,124793,2016-07-18,-1
9631,124793,2016-07-18,-1
9792,124797,2016-02-18,-1
9793,124797,2016-02-18,-1
9794,124797,2016-02-18,-1
9795,124797,2016-05-06,-1
9796,124797,2016-05-06,-1
9797,124797,2016-05-06,-1
9798,124797,2016-08-05,-1
9799,124797,2016-08-05,-1
9800,124797,2016-08-05,-1
9801,124797,2016-11-07,-1
9802,124797,2016-11-07,-1
9803,124797,2016-11-07,-1
9922,124801,2016-01-28,-1
9923,124801,2016-05-12,-1
9924,124801,2016-08-18,-1
9925,124801,2016-10-27,-1
10107,124807,2016-01-25,-1
10108,124807,2016-01-25,-1
10109,124807,2016-01-25,-1
10110,124807,2016-01-25,-1
10111,124807,2016-01-25,-1
10112,124807,2016-01-25,-1
10113,124807,2016-04-25,-1
10114,124807,2016-04-25,-1
10115,124807,2016-04-25,-1
